title,year,original_release_date_parsed,domestic_gross,international_gross,worldwide_gross,production_budget,profit_proxy,roi_proxy,tomatometer_rating,tomatometer_count,genres,runtime,directors,lead_actor,lead_actor_has_oscar,lead_actor_tier,lead_actor_status,star_power_score,is_animated,is_live_action,is_franchise,is_sequel,is_standalone,lead_actor_clean
Cinderella,2015,2015-03-13,201151353,341200000,542351353,95000000,447351353,4.708961611,84,246,"Kids & Family, Science Fiction & Fantasy, Romance",105,Kenneth Branagh,Lily James Cate Blanchett Richard Madden Helena Bonham Carter Stellan Skarsg\u00e5rd,0,B,well_known,62.79232112,0,1,0,0,1,lily james cate blanchett richard madden helena bonham carter stellan skarsg\u00e5rd
The Revenant,2015,2015-12-25,183637894,349312609,532950503,135000000,397950503,2.947781504,78,397,"Action & Adventure, Drama",156,"Alejandro González Iñárritu, Manny Palo",Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson,0,B,well_known,62.67015707,0,1,0,0,1,leonardo dicaprio tom hardy will poulter domhnall gleeson paul anderson
Ant-Man,2015,2015-07-17,180202163,339109802,519311965,130000000,389311965,2.994707423,83,328,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy",117,Peyton Reed,Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale,0,B,well_known,61.69284468,0,1,0,0,1,paul rudd michael douglas evangeline lilly corey stoll bobby cannavale
Hotel Transylvania 2,2015,2015-09-25,169700110,305099890,474800000,80000000,394800000,4.935,56,108,Animation,89,Genndy Tartakovsky,Adam Sandler Andy Samberg Selena Gomez Kevin James Steve Buscemi,0,B,well_known,61.20418848,1,0,0,1,0,adam sandler andy samberg selena gomez kevin james steve buscemi
San Andreas,2015,2015-05-29,155190832,319400000,474590832,110000000,364590832,3.314462109,50,245,Action & Adventure,114,Brad Peyton,Dwayne Johnson Alexandra Daddario Carla Gugino Ioan Gruffudd Archie Panjabi,0,B,well_known,61.08202443,0,1,0,0,1,dwayne johnson alexandra daddario carla gugino ioan gruffudd archie panjabi
Terminator Genisys,2015,2015-07-01,89760956,350842581,440603537,155000000,285603537,1.842603465,27,269,Action & Adventure,126,Alan Taylor,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,0,B,well_known,60.59336824,0,1,0,0,1,arnold schwarzenegger jason clarke emilia clarke jai courtney j.k. simmons
Kingsman: The Secret Service,2015,2015-02-13,128261724,286089822,414351546,81000000,333351546,4.115451185,74,258,Mystery & Suspense,129,Matthew Vaughn,Colin Firth Taron Egerton Mark Strong Samuel L. Jackson Michael Caine,0,B,well_known,59.4938918,0,1,0,0,1,colin firth taron egerton mark strong samuel l. jackson michael caine
Home,2015,2015-03-26,177397510,208644097,386041607,135000000,251041607,1.859567459,51,137,"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy",94,Tim Johnson,Jim Parsons Rihanna Steve Martin Jennifer Lopez Matt Jones,0,B,well_known,58.39441536,1,0,0,0,1,jim parsons rihanna steve martin jennifer lopez matt jones
Mad Max: Fury Road,2015,2015-05-15,153636354,225800000,379436354,150000000,229436354,1.529575693,97,422,"Action & Adventure, Science Fiction & Fantasy",120,George Miller,Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman,0,B,well_known,58.02792321,0,1,0,0,1,tom hardy charlize theron nicholas hoult hugh keays-byrne josh helman
The Good Dinosaur,2015,2015-11-25,123087120,209120551,332207671,175000000,157207671,0.8983295486,76,215,"Action & Adventure, Animation, Comedy, Kids & Family",92,Peter Sohn,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,0,B,well_known,56.19546248,1,0,0,0,1,raymond ochoa jack bright jeffrey wright frances mcdormand maleah nipay-padilla
